Date,Open,High,Low,Close,Adj Close
1/1/2015,1283.5,1283.5,1270.5,1272.775024,1114.909302
1/2/2015,1275.5,1295.474976,1275.300049,1289.724976,1129.757202
1/5/2015,1290.5,1299.949951,1262.324951,1270.125,1112.587769
1/6/2015,1264.550049,1264.550049,1220,1223.300049,1071.570801
1/7/2015,1235,1239.574951,1203.724976,1208.849976,1058.912842
1/8/2015,1221.199951,1224.5,1210.275024,1221.900024,1070.343994
1/9/2015,1227.5,1259.949951,1225,1256.150024,1100.346191
1/12/2015,1258.5,1264,1240.125,1254.849976,1099.207397
1/13/2015,1260,1265.199951,1240.050049,1248.949951,1094.039185
1/14/2015,1258,1265.900024,1250.25,1260.974976,1104.572876
1/15/2015,1266.5,1290.875,1261.625,1269.550049,1112.084351
1/16/2015,1271.849976,1272.5,1242.150024,1266.074951,1109.039795
1/19/2015,1268,1275.5,1251.5,1255.5,1099.776733
1/20/2015,1260,1265,1241.625,1250.224976,1095.15625
1/21/2015,1261,1261,1244.125,1256.900024,1101.003174
1/22/2015,1258.25,1260.625,1247.75,1256.775024,1100.893677
1/23/2015,1257,1266.025024,1248.050049,1251.800049,1096.535645
1/27/2015,1256.175049,1257.5,1244.775024,1251.025024,1098.049805
1/28/2015,1251.5,1272.449951,1251.449951,1269.800049,1114.529053
1/29/2015,1269,1284.349976,1256.449951,1272.324951,1116.745239
1/30/2015,1280.349976,1287.5,1235,1241.025024,1089.272339
2/2/2015,1241,1260.724976,1231.025024,1257.099976,1103.381836
2/3/2015,1255.824951,1282.5,1253.550049,1279.125,1122.713623
2/4/2015,1284,1285.849976,1251.050049,1257.150024,1103.425659
2/5/2015,1260,1295.849976,1259.5,1276.199951,1120.14624
2/6/2015,1276.5,1297.400024,1275.425049,1287.875,1130.393677
2/9/2015,1280.75,1284.550049,1250,1256.449951,1102.811035
2/10/2015,1255,1263.125,1216.5,1220.574951,1071.322998
2/11/2015,1227.525024,1243.625,1223.625,1229.949951,1079.551636
2/12/2015,1239.900024,1239.900024,1223.5,1231.074951,1080.539185
2/13/2015,1235,1273.875,1230.125,1269.375,1114.155884
2/16/2015,1280,1297.5,1277.5,1292.400024,1134.365356
2/18/2015,1292.525024,1321.5,1282.625,1317.824951,1156.681274
2/19/2015,1318,1343.650024,1317.5,1340.525024,1176.605835
2/20/2015,1349.400024,1349.400024,1321.125,1337.775024,1174.192017
2/23/2015,1335.5,1361,1335.5,1348.324951,1183.451782
2/24/2015,1347,1365,1339.5,1352.375,1187.00647
2/25/2015,1355,1361,1333.925049,1336.099976,1172.72168
2/26/2015,1339.5,1346.375,1312.675049,1328.224976,1165.809692
2/27/2015,1329.724976,1337.875,1308.150024,1331.175049,1168.399048
3/2/2015,1339.849976,1354.474976,1326.275024,1334.699951,1171.49292
3/3/2015,1341,1395,1338.074951,1388,1218.275635
3/4/2015,1394,1406.050049,1357.824951,1373,1205.109741
3/5/2015,1375,1385.349976,1340.525024,1348.224976,1183.364136
3/9/2015,1320,1339.900024,1305,1323.400024,1161.574707
3/10/2015,1324.449951,1339.125,1297.625,1321.349976,1159.775269
3/11/2015,1321,1329.974976,1298.900024,1303.275024,1143.910645
3/12/2015,1311.949951,1312.449951,1295.050049,1309.525024,1149.396729
3/13/2015,1319,1319.974976,1287.5,1291.175049,1133.290039
3/16/2015,1292.599976,1305,1276,1281.150024,1124.491089
3/17/2015,1291.25,1303.349976,1278.875,1291.849976,1133.882813
3/18/2015,1295.474976,1299.724976,1275.849976,1279.675049,1123.196655
3/19/2015,1288,1302.925049,1284.050049,1298.125,1139.390503
3/20/2015,1298,1309,1289.425049,1305.474976,1145.841431
3/23/2015,1308,1315.5,1303,1308.574951,1148.562378
3/24/2015,1315,1318.5,1291.050049,1295.650024,1137.217773
3/25/2015,1295.699951,1307,1272.599976,1286.875,1129.515747
3/26/2015,1276.650024,1293.349976,1250.5,1256.550049,1102.898926
3/27/2015,1265.5,1285.949951,1252.050049,1257.400024,1103.645264
3/30/2015,1262.5,1284.949951,1260,1282.074951,1125.302856
3/31/2015,1284.724976,1284.724976,1260.5,1276.974976,1120.82666
